@relation 'Data_Clean_WEKA-weka.filters.unsupervised.instance.SubsetByExpression-E(ATT2 >= 38719) and (ATT2 <= 39447)-weka.filters.unsupervised.attribute.Remove-Rfirst-7,15-21'

@attribute AvgOddsDiff numeric
@attribute P1_Seed {'not seeded',2,8,5,6,7,1,3,4,9,13,11,12,14,10,15,16,29,32,26,21,22,27,18,30,31,17,25,19,23,28,20,24,33}
@attribute P1_Entry {WC,regular,Q,LL,PR,SE,Alt}
@attribute SameHand {TRUE,FALSE}
@attribute HeightDiff numeric
@attribute SameCountry {FALSE,TRUE}
@attribute AgeDiff numeric
@attribute PtsDiffNorm numeric
@attribute P2_Result {W,L}

@data
-1.182,'not seeded',WC,TRUE,3,FALSE,-0.657084,-0.028992,W
-0.7744,'not seeded',regular,TRUE,7,FALSE,-3.238877,-0.013289,W
-0.9282,3,regular,TRUE,-3,FALSE,-13.812457,0.026426,L
-0.349667,'not seeded',Q,FALSE,-8,FALSE,7.381246,-0.02887,L
0.713667,'not seeded',Q,TRUE,13,FALSE,-7.559206,-0.03773,L
-0.8016,5,regular,TRUE,11,FALSE,-1.297741,0.02386,L
-3.2992,3,regular,TRUE,7,FALSE,-1.002053,0.010784,L
-0.5806,2,regular,TRUE,-8,FALSE,2.986995,0.046284,W
1.6914,'not seeded',regular,FALSE,3,TRUE,3.26078,-0.029359,W
2.9494,'not seeded',regular,TRUE,-3,FALSE,1.267625,-0.025387,W
-4.5442,1,regular,FALSE,5,FALSE,10.647502,0.089054,L
-2.6326,2,regular,TRUE,3,FALSE,-6.759754,0.051477,W
-5.1258,1,regular,TRUE,-8,FALSE,-0.922656,0.084716,W
1.689,'not seeded',Q,FALSE,-8,FALSE,8.232717,-0.049339,L
-5.8894,4,regular,TRUE,8,FALSE,3.493498,0.019583,L
0.649,8,regular,FALSE,-5,FALSE,2.899384,0.003086,L
2.521,'not seeded',regular,TRUE,11,FALSE,3.47707,-0.046284,W
0.831,'not seeded',Q,TRUE,10,TRUE,-1.305955,-0.034858,L
-0.0598,3,regular,TRUE,0,FALSE,-11.780972,0.026976,W
-2.0876,'not seeded',regular,TRUE,5,FALSE,-6.398357,-0.003452,L
-3.6378,1,regular,TRUE,3,FALSE,8.156057,0.093331,L
-1.9772,'not seeded',regular,TRUE,28,FALSE,-2.844627,-0.008096,L
1.3452,'not seeded',regular,TRUE,-5,FALSE,3.219713,-0.029848,W
-0.458,6,regular,TRUE,-8,TRUE,-0.892539,0.000397,L
1.0384,'not seeded',regular,TRUE,-3,FALSE,-6.157426,-0.028198,W
1.0838,'not seeded',regular,TRUE,5,FALSE,-5.275838,-0.02276,W
2.9572,'not seeded',Q,FALSE,5,FALSE,-3.865845,-0.061192,L
-0.417,6,regular,FALSE,2,FALSE,0.922656,0.01164,W
4.758,'not seeded',regular,FALSE,-3,FALSE,5.919233,-0.127058,W
0.674,'not seeded',regular,FALSE,5,FALSE,5.234771,-0.030397,W
-0.903,5,regular,TRUE,-12,TRUE,-5.084189,0.033025,W
2.6714,'not seeded',regular,TRUE,-8,FALSE,4.607803,-0.02832,W
1.6044,'not seeded',Q,TRUE,7,TRUE,-5.32512,-0.043351,W
1.4666,'not seeded',regular,TRUE,3,FALSE,-8.481862,-0.072557,L
-6.1978,1,regular,TRUE,-5,FALSE,6.546201,0.08661,L
-0.2654,6,regular,TRUE,-8,TRUE,-2.888433,-0.00779,W
-3.0838,1,regular,TRUE,-8,FALSE,13.097878,0.08386,W
4.567,'not seeded',regular,TRUE,15,FALSE,-8.15332,-0.097425,W
-1.903,'not seeded',regular,FALSE,33,FALSE,-2.154689,0.005224,W
-2.9652,4,regular,FALSE,-5,FALSE,5.097878,0.006629,L
-3.5352,4,regular,TRUE,5,FALSE,-4.180698,0.011029,L
-1.7294,'not seeded',regular,TRUE,-5,FALSE,9.459274,-0.008585,L
-2.3374,1,regular,TRUE,10,FALSE,3.268994,0.082822,L
0.6916,'not seeded',regular,TRUE,-3,FALSE,-1.459274,-0.02331,W
1.5946,'not seeded',Q,TRUE,5,TRUE,1.801506,-0.035958,W
-4.1888,2,regular,TRUE,3,FALSE,2.264203,0.044756,L
-1.7664,'not seeded',regular,FALSE,10,FALSE,2.324435,0.018972,W
-1.4876,3,regular,TRUE,-5,FALSE,3.211499,0.001069,L
-0.7374,3,regular,TRUE,7,FALSE,-4.785763,0.006385,L
3.8962,'not seeded',regular,TRUE,-5,FALSE,-8.175222,-0.133352,W
-1.5374,4,regular,TRUE,3,FALSE,2.294319,-0.012251,L
-2.3254,4,regular,TRUE,5,FALSE,-3.70705,0.009196,L
1.4906,'not seeded',regular,TRUE,3,FALSE,-2.874743,-0.046589,W
0.3712,3,regular,TRUE,7,FALSE,-3.028063,-0.004674,L
4.4472,'not seeded',Q,FALSE,-18,FALSE,2.206708,-0.149971,W
